Facility Permit #,Establishment Name,Facility Name,Facility Street No.,Facility Street Name,Facility Unit No,Facility City,Facility State,Facility Zip,Business Status,Facility Type,Permit Type,Web Site,Operational Status,Location 1
2530,QUIK TRIP #207,QUIK TRIP #207,8501 WINNER ROAD,,,KANSAS CITY,MISSOURI,64125,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,http://www.quiktrip.com,Operational,"8501 WINNER ROAD
KANSAS CITY, MO 64125
(39.10695285300045, -94.48312609399966)"
2438,STABLES,STABLES,813 WALNUT,,,KANSAS CITY,MISSOURI,64106,Closed,Bar/Tavern 0-5 Employees,,,Operational,"813 WALNUT
KANSAS CITY, MO 64106
(39.10428137700046, -94.58181243899969)"
100392,KCI Starbucks (Gate 11),KCI Starbucks (Gate 11),KCI,Terminal A Gate 11,,Kansas City,MISSOURI,64153,Closed,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"11 Kansas
City, MO 64153
(39.2630028640005, -94.6872691699997)"
100295,Super Wok,Super Wok,2349 Hardesty,,,Kansas City,MISSOURI,64127,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"2349 Hardesty
Kansas City, MO 64127
(39.08142882600049, -94.51993517499966)"
31751,VOLUME SERVICES PIZZA STAND #323,VOLUME SERVICES PIZZA STAND #323,1 ROYAL WAY,,,KANSAS CITY,MISSOURI,64129,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"1 ROYAL WAY
KANSAS CITY, MO 64129
(39.05149644800048, -94.48282213699969)"
4410,Genghis Khan Mongolian Grill,Genghis Khan Mongolian Grill,3906 Bell,,,Kansas City ,MISSOURI,64111,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3906 Bell
Kansas City, MO 64111
(39.05710249200047, -94.60614417299968)"
100011,QUEENS MARKET,QUEENS MARKET,1447 INDEPENDENCE AVE,,,KANSAS CITY,MISSOURI,64106,Closed,Retail Grocery/Market Under 3000 sq. ft.,,,Operational,"1447 INDEPENDENCE AVE
KANSAS CITY, MO 64106
(39.10670294200048, -94.5626722239997)"
1473,INDIAN CREEK SCHOOL CAFETERIA,INDIAN CREEK SCHOOL CAFETERIA,9801 GRAND AVE,,,KANSAS CITY,MISSOURI,64114,Closed,School - Public 0-5 Employees,,,Operational,"9801 GRAND AVE
KANSAS CITY, MO 64114
(38.94992028000047, -94.58914496299968)"
57012,Kansas City Ice Cream Company,Kansas City Ice Cream Company,5300 Gardner,,,Kansas City,MISSOURI,64120,Closed,Ice Cream Moblie Vendor,,,Operational,"5300 Gardner
Kansas City, MO 64120
(39.12698832500047, -94.52057001899965)"
27801,POWERS 66,POWERS 66,1509 W 12TH ST,,,KANSAS CITY,MISSOURI,64101,Closed,Retail Grocery/Market Under 3000 sq. ft.,,,Operational,"1509 12TH ST
KANSAS CITY, MO 64101
(39.10015434200045, -94.60361252599967)"
31750,VOLUME SERVICES STAND #322,VOLUME SERVICES STAND #322,1 ROYAL WAY,,,KANSAS CITY,MISSOURI,64129,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"1 ROYAL WAY
KANSAS CITY, MO 64129
(39.05149644800048, -94.48282213699969)"
12690,BLOCKBUSTER VIDEO# 29034,BLOCKBUSTER VIDEO# 29034,3625 BROADWAY,,,Kansas City,MISSOURI,64111,Closed,Retail Grocery/Market Under 3000 sq. ft.,,,Operational,"3625 BROADWAY
Kansas City, MO 64111
(39.06132821200049, -94.59047505499967)"
11259,BIG KMART ,BIG KMART ,600 NE BARRY RD ,,,KANSAS CITY ,MISSOURI,64155,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"600 BARRY RD
KANSAS CITY, MO 64155
(39.246418263000464, -94.57323123599969)"
100141,Webster House Antique & Restaurant,Webster House Antique & Restaurant,1644 Wyandotte,,,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"1644 Wyandotte
Kansas City, MO 64108
(39.09306209800047, -94.58592573699968)"
100993,Cantina El Mexicano,Cantina El Mexicano,3809 E 12th St,,,Kansas City,MISSOURI,64127,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"3809 12th St
Kansas City, MO 64127
(39.09834949500049, -94.53741465599967)"
75000,HUNGRY MAN Cart # 1,HUNGRY MAN Cart # 1,3834 Main,,,KANSAS CITY,MISSOURI,64111,Closed,Mobile Unit/Pushcart,,,Operational,"3834 Main
KANSAS CITY, MO 64111
(39.057083288000456, -94.5861057679997)"
100041,Manual Concessions,Manual Concessions,1215,E Truman Rd.,,Kansas City,MISSOURI,64108,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"1215 Truman Rd
Kansas City, MO 64108
(39.093020984000475, -94.4886964749997)"
14210,KANSAS CITY MUSEUM,KANSAS CITY MUSEUM,3218 GLADSTONE BLVD ,,,KANSAS CITY,MISSOURI,64123,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"3218 GLADSTONE BLVD
KANSAS CITY, MO 64123
(39.115388218000476, -94.54289021599965)"
5644,CATACOMBS HAUNTED HOUSE/FEAR,CATACOMBS HAUNTED HOUSE/FEAR,1100 SANTA FE/1200 W. 12TH ST.,,,KANSAS CITY,MISSOURI,64101,Closed,Mobile Unit/Pushcart,,,Operational,"1100 SANTA FE 1200 W 12TH ST
KANSAS CITY, MO 64101
(39.10135533300047, -94.59828505199965)"
75022,DIPPIN DOTS #3,DIPPIN DOTS #3,1 ROYAL WAY,,,KANSAS CITY,MISSOURI,64129,Closed,Mobile Unit/Pushcart,,,Operational,"1 ROYAL WAY
KANSAS CITY, MO 64129
(39.05149644800048, -94.48282213699969)"
101059,CVS Pharmacy #05663,CVS Pharmacy #05663,6244 Brookside Boulevard,,,Kansas City,MISSOURI,64113,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"6244 Brookside Boulevard
Kansas City, MO 64113
(39.014621186000454, -94.59126351799966)"
1327,ST. JOSEPH HOSPITAL KITCHEN,ST. JOSEPH HOSPITAL KITCHEN,1000 CARONDELET DR,,,KANSAS CITY,MISSOURI,64114,Open,Restaurant/Deli 41-60 Employees,Restaurant/Deli,,Operational,"1000 CARONDELET DR
KANSAS CITY, MO 64114
(38.935051202000466, -94.6016736469997)"
31165,McDonalds,McDonalds,7700 E. 87TH ST.,,,KANSAS CITY,MISSOURI,64138,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"7700 87TH ST
KANSAS CITY, MO 64138
(38.96641792100047, -94.49928973199968)"
3160,135TH ST. B B Q,135TH ST. B B Q,325 E. 135TH ST,,,KANSAS CITY,MISSOURI,64145,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"325 135TH ST
KANSAS CITY, MO 64145
(38.88265884800046, -94.5921451379997)"
100078,Holiday Inn Express,Holiday Inn Express,11130 NW AMBASSADOR DRIVE,,,KANSAS CITY,MISSOURI,64153,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"11130 AMBASSADOR DRIVE
KANSAS CITY, MO 64153
(39.293879923000475, -94.68168643499968)"
101518,Midtown Burrito Restaurant,Midtown Burrito Restaurant,240 E Linwood Blvd.,,,Kansas City,MISSOURI,64111,Closed,,,,Operational,"240 Linwood Blvd
Kansas City, MO 64111
(39.06833754800044, -94.58150907399965)"
101591,Grandma's Office Catering,Grandma's Office Catering,4001,NE Davidson Rd,,Kansas City,MISSOURI,64116,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,http://grandmascatering.com,Operational,"4001 Davidson Rd
Kansas City, MO 64116
(39.166699880000465, -94.56298335799966)"
101629,Forney's Comfort Catering,Forney's Comfort Catering,5021 NE 59th Terr,,,Kansas City,MISSOURI,64119,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"5021 59th Terr
Kansas City, MO 64119
(39.20161323400049, -94.52006309099966)"
100950,Angies Italian Ice (Rinmart),Angies Italian Ice (Rinmart),1710 W 39th Street,,,Kansas City,MISSOURI,64111,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"1710 39th Street
Kansas City, MO 64111
(39.057307042000446, -94.6051383089997)"
100431,Best Western Country Inn- North,Best Western Country Inn- North,2633 NE 43rd St.,,,Kansas City,MISSOURI,64117,Open,Restaurant/Deli 0-5 Employees,,,Operational,"2633 43rd St
Kansas City, MO 64117
(39.171462903000474, -94.5477214229997)"
101686,Halal Market Kitchen,Halal Market Kitchen,8330 E. Bennister Rd.,,,Kansas City ,MISSOURI,64134,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"8330 Bennister Rd
Kansas City, MO 64134
(38.931213900000444, -94.5017765399997)"
65086,El Changarro,El Changarro,6205 E Truman,,,Kansas City,MISSOURI,64126,Closed,Mobile Unit/Pushcart,,,Operational,"6205 Truman
Kansas City, MO 64126
(39.093020984000475, -94.4886964749997)"
101864,Dar Salam,Dar Salam,1447,Independence Ave.,,KC,MISSOURI,64106,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"1447 Independence Ave
KC, MO 64106
(39.10670294200048, -94.5626722239997)"
1459,Einstein Bros Bagels #3048,Einstein Bros Bagels #3048,2450,Grand,121,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"2450 Grand
City, MO 64108
(39.08256467600046, -94.58183597099969)"
4989,Ameristar Pearl's Oyster Bar,Ameristar Pearl's Oyster Bar,3200,N Ameristar Dr. ,,Kansas City ,MISSOURI,64161,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3200 Ameristar Dr
Kansas City, MO 64161
(39.151010200000485, -94.47726143599965)"
31685,Centerplate Stand #113,Centerplate Stand #113,ONE ARROWHEAD DR.,,,KANSAS CITY,MISSOURI,64129,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"ONE ARROWHEAD DR
KANSAS CITY, MO 64129
(39.03902217600046, -94.49601940699966)"
4931,Ameristar Horizons Buffet/Chinatown,Ameristar Horizons Buffet/Chinatown,3200,N Ameristar Dr. ,,Kansas City,MISSOURI,64161,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"3200 Ameristar Dr
Kansas City, MO 64161
(39.151010200000485, -94.47726143599965)"
13880,NEW GLADSTONE ELEMENTARY SCHOOL,NEW GLADSTONE ELEMENTARY SCHOOL,335 N ELMWOOD,,,KANSAS CITY,MISSOURI,64123,Closed,School - Public 0-5 Employees,,,Operational,"335 ELMWOOD
KANSAS CITY, MO 64123
(39.11096050700047, -94.52809611299966)"
4860,Arthur Bryant's Barbeque,Arthur Bryant's Barbeque,3200,N Ameristar Dr. ,,Kansas City,MISSOURI,64161,Closed,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3200 Ameristar Dr
Kansas City, MO 64161
(39.151010200000485, -94.47726143599965)"
11704,Gasmart USA,Gasmart USA,4111 Blue Ridge Cutoff,,,Kansas City,MISSOURI,64133,Open,Retail Grocery/Market Under 3000 sq. ft.,,,Operational,"4111 Blue Ridge
Cutoff Kansas City, MO 64133
(39.048033751000446, -94.47564218499969)"
1436,V.I.,V.I.,1111 GRAND,,,KANSAS CITY,MISSOURI,64106,Closed,Bar/Tavern 0-5 Employees,,,Operational,"1111 GRAND
KANSAS CITY, MO 64106
(39.10068851000045, -94.58082566999968)"
4320,Mohart Focus Center,Mohart Focus Center,3200,Wayne,,Kansas City,MISSOURI,64109,Open,Fee Exempt,Fee Exempt,,Operational,"3200 Wayne
Kansas City, MO 64109
(39.068277143000444, -94.56446542099968)"
4628,Gates Bar B Q (3201 Main St.),Gates Bar B Q (3201 Main St.),3201,Main,,Kansas City,MISSOURI,64111,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3201 Main
Kansas City, MO 64111
(39.069100611000465, -94.58533933399968)"
4747,TANNERS,TANNERS,1000 BROADWAY,,,KANSAS CITY,MISSOURI,64105,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"1000 BROADWAY
KANSAS CITY, MO 64105
(39.102122831000486, -94.58835614599968)"
4725,WALDO BAR & GRILL,WALDO BAR & GRILL,7438 WORNALL RD,,,KANSAS CITY,MISSOURI,64114,Closed,Bar/Tavern 0-5 Employees,,,Operational,"7438 WORNALL RD
KANSAS CITY, MO 64114
(38.993034863000446, -94.59431868599967)"
5355,PARADISE CONCESSIONS,PARADISE CONCESSIONS,3251 S.W. PRYOR,,,LEES' SUMMIT,MISSOURI,64082,Closed,Mobile Unit/Pushcart,,,Operational,"3251 PRYOR LEES' SUMMIT
MO 64082
(38.853142841000476, -94.39595827599965)"
2849,RICHARDS PLACE ,RICHARDS PLACE ,4820 E 24TH ST ,,,KANSAS CITY ,MISSOURI,64127,Closed,Bar/Tavern 0-5 Employees,,,Operational,"4820 24TH ST
KANSAS CITY, MO 64127
(39.082098018000465, -94.52682014799967)"
17890,McDonald's (3255 Main St.),McDonald's (3255 Main St.),3255 MAIN,,,KANSAS CITY,MISSOURI,64111,Closed,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"3255 MAIN
KANSAS CITY, MO 64111
(39.06677886500046, -94.58547566199968)"
3129,CENTER MIDDLE SCHOOL,CENTER MIDDLE SCHOOL,326 E 103RD ST,,,KANSAS CITY,MISSOURI,64114,Closed,School - Public 0-5 Employees,,,Operational,"326 103RD ST
KANSAS CITY, MO 64114
(38.941308438000476, -94.58964952199966)"
1637,Chouteau School Cafeteria,Chouteau School Cafeteria,3701,N Jackson,,Kansas City,MISSOURI,64117,Open,Fee Exempt,Fee Exempt,,Operational,"3701 Jackson
Kansas City, MO 64117
(39.16966345600048, -94.52730779199965)"
19570,BROWNE'S MARKET,BROWNE'S MARKET,3300 PENNSYLVANIA,,,Kansas City,MISSOURI,64111,Closed,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"3300 PENNSYLVANIA
Kansas City, MO 64111
(39.067553776000466, -94.59250110999966)"
17960,"WEST AFRICAN GROCERS, INC","WEST AFRICAN GROCERS, INC",3703,MAIN STREET ,,KANSAS CITY ,MISSOURI,64111,Closed,Retail Grocery/Market Under 3000 sq. ft.,,,Operational,"3703 MAIN STREET
KANSAS CITY, MO 64111
(39.06004683200047, -94.58585097499969)"
21352,"Bob Evans Farms, Inc. #390","Bob Evans Farms, Inc. #390",8371 N. St. Clair Ave.,,,Kansas City,MISSOURI,64151,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"8371 St Clair Ave
Kansas City, MO 64151
(39.246130451000454, -94.64699744699965)"
514213,TONY'S HOUSE OF SAUSAGE #1 514213,TONY'S HOUSE OF SAUSAGE #1 514213,3663,PO Box,,Kansas City,KANSAS,64103,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"3663 PO
Box Kansas City, MO 64103
(39.52368635500045, -99.11415045099966)"
514713,TONY'S HOUSE OF SAUSAGE #2 514713,TONY'S HOUSE OF SAUSAGE #2 514713,8611,Hauser,Ct.,Lenexa,KANSAS,64213,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"8611 Hauser Ct
Lenexa, MO 64213
(39.52368635500045, -99.11415045099966)"
31600,R.C.'s Restaurant & Back Door Lounge,R.C.'s Restaurant & Back Door Lounge,330,E 135TH ST,,Kansas City,MISSOURI,64145,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"330 135TH ST
Kansas City, MO 64145
(38.88267779600045, -94.59153865399969)"
4641,St. Joseph Health Center Food Court,St. Joseph Health Center Food Court,1000 CARONDELET DR.,,,KANSAS CITY,MISSOURI,64114,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1000 CARONDELET DR
KANSAS CITY, MO 64114
(38.935051202000466, -94.6016736469997)"
1957,BROWNE' S DELI,BROWNE' S DELI,3300 PENNSYLVANIA,,,KANSAS CITY,MISSOURI,64111,Closed,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"3300 PENNSYLVANIA
KANSAS CITY, MO 64111
(39.067553776000466, -94.59250110999966)"
2690,Restart Food Service,Restart Food Service,918,E 9th St,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"918 9th St
Kansas City, MO 64106
(39.10320775000048, -94.5713503939997)"
1261,KC LIFE INSURANCE COMPANY,KC LIFE INSURANCE COMPANY,3520 BROADWAY,,,KANSAS CITY,MISSOURI,64111,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3520 BROADWAY
KANSAS CITY, MO 64111
(39.06338316200049, -94.59042530999966)"
16620,KCI Car Care Center Inc. (deli),KCI Car Care Center Inc. (deli),426 Paris St.,,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 0-5 Employees,,,Operational,"426 Paris St
Kansas City, MO 64153
(39.30202747600049, -94.7112658799997)"
24622,Reverse,Reverse,616,Ward Parkway,,Kansas City,MISSOURI,64112,Closed,Restaurant/Deli 0-5 Employees,,http://www.reversekc.com,Operational,"616 Ward Parkway
Kansas City, MO 64112
(39.040020196000455, -94.59470391599967)"
2417,PIZZA HUT (DELIVERY),PIZZA HUT (DELIVERY),3516 VIVION RD,,,KANSAS CITY,MISSOURI,64119,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"3516 VIVION RD
KANSAS CITY, MO 64119
(39.188106580000465, -94.53831952799965)"
24433,Treat America @ Commerce Executive Dining,Treat America @ Commerce Executive Dining,1000,Walnut St,,Kansas City,MISSOURI,64105,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"1000 Walnut St
Kansas City, MO 64105
(39.10222334100047, -94.58196850499968)"
1911,Calvary Lutheran School (Oak Campus),Calvary Lutheran School (Oak Campus),7500 OAK ST,,,KANSAS CITY,MISSOURI,64114,Open,School - Private 0-5 Employees,School - Private,,Operational,"7500 OAK ST
KANSAS CITY, MO 64114
(38.99166361100049, -94.58494623099966)"
17991,Main Street Shell Grocery (3742 Main St.),Main Street Shell Grocery (3742 Main St.),3742 MAIN ST,,,KANSAS CITY,MISSOURI,64111,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"3742 MAIN ST
KANSAS CITY, MO 64111
(39.05853300500047, -94.58601575299969)"
100512,Valero (retail),Valero (retail),1704 Grand,,,Kansas City,MISSOURI,64108,Closed,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"1704 Grand
Kansas City, MO 64108
(39.093212517000495, -94.58129588099968)"
15910,El Paso del Norte (deli),El Paso del Norte (deli),3430,Independence Ave,,Kansas City,MISSOURI,64124,Open,Restaurant/Deli 0-5 Employees,,,Operational,"3430 Independence Ave
Kansas City, MO 64124
(39.10595794900047, -94.54070971799968)"
100063,METROPOLITAN LUTHERAN MINISTRY,METROPOLITAN LUTHERAN MINISTRY,1104 NE VIVION,,,KANSAS CITY,MISSOURI,64118,Closed,Retail Grocery/Market Under 3000 sq. ft.,,,Operational,"1104 VIVION
KANSAS CITY, MO 64118
(39.214273628000456, -94.57336919499966)"
31686,Centerplate Stand #116,Centerplate Stand #116,ONE ARROWHEAD DR.,,,KANSAS CITY,MISSOURI,64129,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"ONE ARROWHEAD DR
KANSAS CITY, MO 64129
(39.03902217600046, -94.49601940699966)"
4084,PALESTINE SR. CITIZENS CENTER,PALESTINE SR. CITIZENS CENTER,3325 PROSPECT,,,KANSAS CITY,MISSOURI,64128,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"3325 PROSPECT
KANSAS CITY, MO 64128
(39.06550917800047, -94.55301573299965)"
19176,Quik Trip #221,Quik Trip #221,9340,N Oak Tfwy,,Kansas City,MISSOURI,64155,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"9340 Oak
Tfwy Kansas City, MO 64155
(39.27609002000048, -94.57066660199968)"
100679,River of Life/ Life Christian Academy,River of Life/ Life Christian Academy,West Campus,,12220 NW Skyview Drive,Kansas City,MISSOURI,64164,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"12220 Skyview
DriveKansas City, MO 64164
(39.330172304000484, -94.64881586999968)"
3036,Baskin Robbins Ice Cream #3358,Baskin Robbins Ice Cream #3358,336 W,63rd St,,Kansas City,MISSOURI,64113,Open,Restaurant/Deli 0-5 Employees,,,Operational,"336 63rd St
Kansas City, MO 64113
(39.01409711400049, -94.59205427099965)"
19991,Ruby Tuesday #2251,Ruby Tuesday #2251,9770,NW Prairie View Rd,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 41-60 Employees,Restaurant/Deli,http://www.rubytuesday.com,Operational,"9770 Prairie View Rd
Kansas City, MO 64153
(39.27217561800046, -94.67053640299969)"
1526,Chester A. Franklin School,Chester A. Franklin School,3400,Highland,,Kansas City,MISSOURI,64109,Closed,School - Public 0-5 Employees,,,Operational,"3400 Highland
Kansas City, MO 64109
(39.064771489000464, -94.56350824599969)"
23800,East Highschool - 4th Floor Kitchen,East Highschool - 4th Floor Kitchen,1924 Van Brunt,,,Kansas City,MISSOURI,64127,Closed,School - Public 0-5 Employees,,,Operational,"1924 Van
Brunt Kansas City, MO 64127
(39.08962411000044, -94.53924786699969)"
1913,Blockbuster Video  #29176,Blockbuster Video  #29176,8030 N. Oak Trfwy.,,,Kansas City,MISSOURI,64118,Closed,Retail Grocery/Market Under 3000 sq. ft.,,,Operational,"8030 Oak
Trfwy Kansas City, MO 64118
(39.214273628000456, -94.57336919499966)"
55102,Volume Services-103 Bar,Volume Services-103 Bar,1 ROYAL WAY,,,Kansas City,MISSOURI,64129,Closed,Mobile Unit/Pushcart,,,Operational,"1 ROYAL WAY
Kansas City, MO 64129
(39.05149644800048, -94.48282213699969)"
4386,Osco Drug,Osco Drug,330 NE BARRY RD ,,,KANSAS CITY,MISSOURI,64155,Closed,Retail Grocery/Market Under 3000 sq. ft.,,,Operational,"330 BARRY RD
KANSAS CITY, MO 64155
(39.24640760300048, -94.57657008699965)"
100514,Subway,Subway,8793 Blue Ridge Blvd.,,,Kansas City,MISSOURI,64138,Open,Restaurant/Deli 0-5 Employees,,,Operational,"8793 Blue Ridge Blvd
Kansas City, MO 64138
(38.9641917350005, -94.49885960599966)"
1793,DAVEY'S UPTOWN RAMBLERS CLUB,DAVEY'S UPTOWN RAMBLERS CLUB,3402 MAIN ST,,,KANSAS City,MISSOURI,64111,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"3402 MAIN ST
KANSAS City, MO 64111
(39.06535446400045, -94.58562830899967)"
19880,Highland's Community of Christ ,Highland's Community of Christ ,7615 N. Platte Purchase Dr.,,,Kansas City,MISSOURI,64118,Open,Restaurant/Deli 0-5 Employees,,,Operational,"7615 Platte Purchase Dr
Kansas City, MO 64118
(39.233799563000446, -94.60089548999969)"
100052,In-A-Tub,In-A-Tub,8174,NW Prairie View Rd,,Kansas City,MISSOURI,64151,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"8174 Prairie View Rd
Kansas City, MO 64151
(39.24295031200046, -94.65884628099968)"
15630,SADDLE AND SIRLOIN CLUB OF KANSAS CITY,SADDLE AND SIRLOIN CLUB OF KANSAS CITY,14401 HOLMES RD.,,,KANSAS CITY,MISSOURI,64145,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"14401 HOLMES RD
KANSAS CITY, MO 64145
(38.865778640000485, -94.58532761099968)"
2284,ST JAMES PLACE,ST JAMES PLACE,3936 Troost Ave.,,,Kansas City,MISSOURI,64110,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"3936 Troost Ave
Kansas City, MO 64110
(39.05539671300045, -94.57219439599965)"
2353,Portia's Cafe,Portia's Cafe,3840 Truman Rd,,,Kansas City,MISSOURI,64127,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"3840 Truman Rd
Kansas City, MO 64127
(39.094167548000485, -94.53680128099967)"
100206,Red Bridge Cinema 4,Red Bridge Cinema 4,11118 Holmes,,,Kansas City,MISSOURI,64131,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"11118 Holmes
Kansas City, MO 64131
(38.92529746600047, -94.58342134399965)"
2662,GORDON PARKS ELEMENTARY SCHOOL,GORDON PARKS ELEMENTARY SCHOOL,3715 WYOMING,,,KANSAS CITY,MISSOURI,64111,Closed,School - Public 0-5 Employees,,,Operational,"3715 WYOMING
KANSAS CITY, MO 64111
(39.060169860000485, -94.60362555399968)"
5095,CASCONES RESTAURANT,CASCONES RESTAURANT,3733 N OAK TFWY,,,KANSAS CITY,MISSOURI,64116,Closed,Mobile Unit/Pushcart,,,Operational,"3733 OAK
TFWY KANSAS CITY, MO 64116
(39.15775379600046, -94.57280868899966)"
