OccupationalGrade,OccupationalCode,OccupationalTitle,EstimatedEmployment2008,ProjectedEmployment2018,NetChange20082018,PercentChange20082018,MeanAnnualWages2008,EntryAnnualWages2008,ExperiencedAnnualWages2008,20082018OpeningsGrowth,20082018OpeningsReplacement,20082018OpeningsTotal,AnnualOpeningsGrowth,AnnualOpeningsReplacement,AnnualOpeningsTotal,EducationTrainingRequired,WIARegion
F,53-7072,"Pump Operators, Except Wellhead Pumpers",0,0,0,0%,$20620.00,$17440.00,$22200.00,0,1,1,0,0,0,Moderate-term on-the-job training,Southwest
F-,53-7072,"Pump Operators, Except Wellhead Pumpers",0,0,-1,-50%,$20620.00,$17440.00,$22200.00,0,1,1,0,0,0,Moderate-term on-the-job training,Kansas City Metro
F,53-7072,"Pump Operators, Except Wellhead Pumpers",1,1,0,0%,$20620.00,$17440.00,$22200.00,0,0,0,0,0,0,Moderate-term on-the-job training,Ozark
F+,53-7072,"Pump Operators, Except Wellhead Pumpers",0,0,0,0%,$20620.00,$17440.00,$22200.00,0,0,0,0,0,0,Moderate-term on-the-job training,West Central
F,53-7072,"Pump Operators, Except Wellhead Pumpers",0,0,0,0%,$20620.00,$17440.00,$22200.00,0,0,0,0,0,0,Moderate-term on-the-job training,Southeast
F,53-7072,"Pump Operators, Except Wellhead Pumpers",0,0,0,0%,$20620.00,$17440.00,$22200.00,0,1,1,0,0,0,Moderate-term on-the-job training,Northwest
F,53-7071,Gas Compressor and Gas Pumping Station Operators,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Northeast
F,53-7071,Gas Compressor and Gas Pumping Station Operators,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,Kansas City Metro
F,53-7071,Gas Compressor and Gas Pumping Station Operators,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Southeast
D-,53-7064,"Packers and Packagers, Hand",5080,4680,-402,-7.91%,$20970.00,$15710.00,$23590.00,0,845,845,0,85,85,Short-term on-the-job training,St. Louis Metro
D-,53-7064,"Packers and Packagers, Hand",620,590,-29,-4.72%,$20970.00,$15710.00,$23590.00,0,102,102,0,10,10,Short-term on-the-job training,Northwest
D-,53-7064,"Packers and Packagers, Hand",2610,2480,-126,-4.83%,$20970.00,$15710.00,$23590.00,0,433,433,0,43,43,Short-term on-the-job training,Kansas City Metro
D-,53-7064,"Packers and Packagers, Hand",1280,1290,10,0.78%,$20970.00,$15710.00,$23590.00,10,213,223,1,21,22,Short-term on-the-job training,Central
D-,53-7064,"Packers and Packagers, Hand",810,760,-45,-5.56%,$20970.00,$15710.00,$23590.00,0,134,134,0,13,13,Short-term on-the-job training,Southwest
D-,53-7064,"Packers and Packagers, Hand",340,320,-20,-5.87%,$20970.00,$15710.00,$23590.00,0,57,57,0,6,6,Short-term on-the-job training,South Central
D-,53-7064,"Packers and Packagers, Hand",830,780,-44,-5.33%,$20970.00,$15710.00,$23590.00,0,137,137,0,14,14,Short-term on-the-job training,Southeast
F+,53-7064,"Packers and Packagers, Hand",1105,1075,-30,-2.71%,$20970.00,$15710.00,$23590.00,0,184,184,0,18,18,Short-term on-the-job training,Ozark
D-,53-7064,"Packers and Packagers, Hand",430,430,1,0.23%,$20970.00,$15710.00,$23590.00,1,71,72,0,7,7,Short-term on-the-job training,Northeast
D-,53-7064,"Packers and Packagers, Hand",460,430,-30,-6.56%,$20970.00,$15710.00,$23590.00,0,76,76,0,8,8,Short-term on-the-job training,West Central
F,53-7063,Machine Feeders and Offbearers,156,126,-30,-19.23%,$30430.00,$19940.00,$35670.00,0,18,18,0,2,2,Short-term on-the-job training,Ozark
F,53-7063,Machine Feeders and Offbearers,440,360,-88,-19.86%,$30430.00,$19940.00,$35670.00,0,50,50,0,5,5,Short-term on-the-job training,Kansas City Metro
F,53-7063,Machine Feeders and Offbearers,90,80,-16,-17.02%,$30430.00,$19940.00,$35670.00,0,11,11,0,1,1,Short-term on-the-job training,Northwest
F,53-7063,Machine Feeders and Offbearers,70,60,-8,-12.31%,$30430.00,$19940.00,$35670.00,0,7,7,0,1,1,Short-term on-the-job training,Northeast
F+,53-7063,Machine Feeders and Offbearers,150,130,-26,-17.22%,$30430.00,$19940.00,$35670.00,0,17,17,0,2,2,Short-term on-the-job training,Southwest
F,53-7063,Machine Feeders and Offbearers,40,30,-8,-20.51%,$30430.00,$19940.00,$35670.00,0,4,4,0,0,0,Short-term on-the-job training,South Central
F+,53-7063,Machine Feeders and Offbearers,140,110,-29,-20.28%,$30430.00,$19940.00,$35670.00,0,16,16,0,2,2,Short-term on-the-job training,Southeast
F,53-7063,Machine Feeders and Offbearers,180,150,-30,-16.39%,$30430.00,$19940.00,$35670.00,0,21,21,0,2,2,Short-term on-the-job training,Central
F,53-7063,Machine Feeders and Offbearers,650,510,-140,-21.71%,$30430.00,$19940.00,$35670.00,0,73,73,0,7,7,Short-term on-the-job training,St. Louis Metro
F,53-7063,Machine Feeders and Offbearers,50,40,-10,-19.23%,$30430.00,$19940.00,$35670.00,0,6,6,0,1,1,Short-term on-the-job training,West Central
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1600,1550,-50,-3.13%,$25710.00,$17180.00,$29980.00,0,514,514,0,51,51,Short-term on-the-job training,Northwest
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",8190,7730,-465,-5.68%,$25710.00,$17180.00,$29980.00,0,2636,2636,0,264,264,Short-term on-the-job training,Kansas City Metro
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",3881,3739,-142,-3.66%,$25710.00,$17180.00,$29980.00,0,1249,1249,0,125,125,Short-term on-the-job training,Ozark
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1290,1270,-17,-1.32%,$25710.00,$17180.00,$29980.00,0,415,415,0,42,42,Short-term on-the-job training,Northeast
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",16330,15050,-1277,-7.82%,$25710.00,$17180.00,$29980.00,0,5255,5255,0,526,526,Short-term on-the-job training,St. Louis Metro
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2370,2240,-129,-5.45%,$25710.00,$17180.00,$29980.00,0,762,762,0,76,76,Short-term on-the-job training,Southeast
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1110,1040,-75,-6.74%,$25710.00,$17180.00,$29980.00,0,358,358,0,36,36,Short-term on-the-job training,South Central
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1160,1110,-42,-3.64%,$25710.00,$17180.00,$29980.00,0,372,372,0,37,37,Short-term on-the-job training,West Central
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",3840,3670,-172,-4.48%,$25710.00,$17180.00,$29980.00,0,1236,1236,0,124,124,Short-term on-the-job training,Central
D,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2490,2350,-144,-5.77%,$25710.00,$17180.00,$29980.00,0,803,803,0,80,80,Short-term on-the-job training,Southwest
D-,53-7061,Cleaners of Vehicles and Equipment,880,890,12,1.37%,$21920.00,$15710.00,$25020.00,12,311,323,1,31,32,Short-term on-the-job training,Central
B-,53-7061,Cleaners of Vehicles and Equipment,450,460,6,1.32%,$21920.00,$15710.00,$25020.00,6,161,167,1,16,17,Short-term on-the-job training,Northwest
D-,53-7061,Cleaners of Vehicles and Equipment,828,833,5,0.6%,$21920.00,$15710.00,$25020.00,5,294,299,1,29,30,Short-term on-the-job training,Ozark
D,53-7061,Cleaners of Vehicles and Equipment,320,310,-8,-2.5%,$21920.00,$15710.00,$25020.00,0,114,114,0,11,11,Short-term on-the-job training,Northeast
D-,53-7061,Cleaners of Vehicles and Equipment,220,220,-1,-0.45%,$21920.00,$15710.00,$25020.00,0,80,80,0,8,8,Short-term on-the-job training,South Central
D,53-7061,Cleaners of Vehicles and Equipment,560,560,-4,-0.71%,$21920.00,$15710.00,$25020.00,0,199,199,0,20,20,Short-term on-the-job training,Southwest
D-,53-7061,Cleaners of Vehicles and Equipment,490,500,3,0.61%,$21920.00,$15710.00,$25020.00,3,175,178,0,18,18,Short-term on-the-job training,Southeast
D-,53-7061,Cleaners of Vehicles and Equipment,1580,1570,-11,-0.7%,$21920.00,$15710.00,$25020.00,0,560,560,0,56,56,Short-term on-the-job training,Kansas City Metro
D-,53-7061,Cleaners of Vehicles and Equipment,3120,3080,-39,-1.25%,$21920.00,$15710.00,$25020.00,0,1108,1108,0,111,111,Short-term on-the-job training,St. Louis Metro
B-,53-7061,Cleaners of Vehicles and Equipment,350,350,0,0%,$21920.00,$15710.00,$25020.00,0,125,125,0,13,13,Short-term on-the-job training,West Central
D,53-7051,Industrial Truck and Tractor Operators,1590,1620,30,1.89%,$28730.00,$20780.00,$32700.00,30,474,504,3,47,50,Short-term on-the-job training,Central
D,53-7051,Industrial Truck and Tractor Operators,480,470,-7,-1.46%,$28730.00,$20780.00,$32700.00,0,143,143,0,14,14,Short-term on-the-job training,West Central
D,53-7051,Industrial Truck and Tractor Operators,2970,2930,-45,-1.52%,$28730.00,$20780.00,$32700.00,0,885,885,0,89,89,Short-term on-the-job training,Kansas City Metro
D,53-7051,Industrial Truck and Tractor Operators,420,420,-7,-1.65%,$28730.00,$20780.00,$32700.00,0,126,126,0,13,13,Short-term on-the-job training,South Central
B-,53-7051,Industrial Truck and Tractor Operators,970,1000,26,2.67%,$28730.00,$20780.00,$32700.00,26,290,316,3,29,32,Short-term on-the-job training,Southwest
D,53-7051,Industrial Truck and Tractor Operators,5530,5430,-95,-1.72%,$28730.00,$20780.00,$32700.00,0,1647,1647,0,165,165,Short-term on-the-job training,St. Louis Metro
B-,53-7051,Industrial Truck and Tractor Operators,620,660,40,6.5%,$28730.00,$20780.00,$32700.00,40,183,223,4,18,22,Short-term on-the-job training,Northeast
D,53-7051,Industrial Truck and Tractor Operators,1352,1364,12,0.89%,$28730.00,$20780.00,$32700.00,12,403,415,1,40,41,Short-term on-the-job training,Ozark
D,53-7051,Industrial Truck and Tractor Operators,1040,1020,-14,-1.35%,$28730.00,$20780.00,$32700.00,0,309,309,0,31,31,Short-term on-the-job training,Southeast
B-,53-7051,Industrial Truck and Tractor Operators,690,700,11,1.6%,$28730.00,$20780.00,$32700.00,11,205,216,1,21,22,Short-term on-the-job training,Northwest
D-,53-7041,Hoist and Winch Operators,0,0,0,0%,$45180.00,$28630.00,$53460.00,$0,$1,1,$0,$0,0,Moderate-term on-the-job training,Central
C,53-7041,Hoist and Winch Operators,0,0,0,0%,$45180.00,$28630.00,$53460.00,0,0,0,0,0,0,Moderate-term on-the-job training,West Central
D-,53-7041,Hoist and Winch Operators,0,0,0,0%,$45180.00,$28630.00,$53460.00,0,0,0,0,0,0,Moderate-term on-the-job training,Northeast
D-,53-7041,Hoist and Winch Operators,1,1,0,0%,$45180.00,$28630.00,$53460.00,0,0,0,0,0,0,Moderate-term on-the-job training,Ozark
F+,53-7041,Hoist and Winch Operators,10,10,-1,-11.11%,$45180.00,$28630.00,$53460.00,0,3,3,0,0,0,Moderate-term on-the-job training,St. Louis Metro
F+,53-7041,Hoist and Winch Operators,10,0,-2,-33.33%,$45180.00,$28630.00,$53460.00,0,2,2,0,0,0,Moderate-term on-the-job training,Kansas City Metro
D-,53-7041,Hoist and Winch Operators,0,0,0,0%,$45180.00,$28630.00,$53460.00,0,1,1,0,0,0,Moderate-term on-the-job training,Southeast
F,53-7033,"Loading Machine Operators, Underground Mining",0,0,-1,-25%,$27490.00,$22350.00,$30060.00,0,1,1,0,0,0,Moderate-term on-the-job training,Kansas City Metro
F,53-7033,"Loading Machine Operators, Underground Mining",10,10,-1,-7.69%,$27490.00,$22350.00,$30060.00,0,4,4,0,0,0,Moderate-term on-the-job training,St. Louis Metro
F,53-7033,"Loading Machine Operators, Underground Mining",10,10,0,0%,$27490.00,$22350.00,$30060.00,0,1,1,0,0,0,Moderate-term on-the-job training,Northeast
F,53-7033,"Loading Machine Operators, Underground Mining",30,30,-3,-10%,$27490.00,$22350.00,$30060.00,0,9,9,0,1,1,Moderate-term on-the-job training,Southeast
F,53-7033,"Loading Machine Operators, Underground Mining",10,10,-1,-12.5%,$27490.00,$22350.00,$30060.00,0,2,2,0,0,0,Moderate-term on-the-job training,Central
F,53-7033,"Loading Machine Operators, Underground Mining",0,0,0,0%,$27490.00,$22350.00,$30060.00,0,1,1,0,0,0,Moderate-term on-the-job training,Northwest
F,53-7033,"Loading Machine Operators, Underground Mining",0,0,0,0%,$27490.00,$22350.00,$30060.00,0,1,1,0,0,0,Moderate-term on-the-job training,Southwest
F+,53-7033,"Loading Machine Operators, Underground Mining",0,0,0,0%,$27490.00,$22350.00,$30060.00,0,1,1,0,0,0,Moderate-term on-the-job training,West Central
F,53-7033,"Loading Machine Operators, Underground Mining",0,0,-1,-25%,$27490.00,$22350.00,$30060.00,0,1,1,0,0,0,Moderate-term on-the-job training,South Central
D-,53-7033,"Loading Machine Operators, Underground Mining",5,6,1,20%,$27490.00,$22350.00,$30060.00,1,1,2,0,0,0,Moderate-term on-the-job training,Ozark
B+,53-7032,Excavating and Loading Machine and Dragline Operators,236,261,25,10.59%,$50680.00,$30640.00,$60700.00,25,69,94,3,7,10,Moderate-term on-the-job training,Ozark
B+,53-7032,Excavating and Loading Machine and Dragline Operators,560,580,21,3.76%,$50680.00,$30640.00,$60700.00,21,163,184,2,16,18,Moderate-term on-the-job training,Kansas City Metro
A-,53-7032,Excavating and Loading Machine and Dragline Operators,100,110,10,9.62%,$50680.00,$30640.00,$60700.00,10,30,40,1,3,4,Moderate-term on-the-job training,Southwest
B+,53-7032,Excavating and Loading Machine and Dragline Operators,90,100,3,3.19%,$50680.00,$30640.00,$60700.00,3,27,30,0,3,3,Moderate-term on-the-job training,Northwest
A-,53-7032,Excavating and Loading Machine and Dragline Operators,200,220,20,9.85%,$50680.00,$30640.00,$60700.00,20,59,79,2,6,8,Moderate-term on-the-job training,Southeast
C,53-7032,Excavating and Loading Machine and Dragline Operators,120,120,2,1.74%,$50680.00,$30640.00,$60700.00,2,33,35,0,3,3,Moderate-term on-the-job training,Northeast
C,53-7032,Excavating and Loading Machine and Dragline Operators,90,90,-2,-2.2%,$50680.00,$30640.00,$60700.00,0,27,27,0,3,3,Moderate-term on-the-job training,West Central
B+,53-7032,Excavating and Loading Machine and Dragline Operators,320,330,10,3.16%,$50680.00,$30640.00,$60700.00,10,92,102,1,9,10,Moderate-term on-the-job training,Central
C,53-7032,Excavating and Loading Machine and Dragline Operators,1140,1120,-16,-1.41%,$50680.00,$30640.00,$60700.00,0,331,331,0,33,33,Moderate-term on-the-job training,St. Louis Metro
B+,53-7032,Excavating and Loading Machine and Dragline Operators,60,60,3,5%,$50680.00,$30640.00,$60700.00,3,17,20,0,2,2,Moderate-term on-the-job training,South Central
F+,53-7031,Dredge Operators,10,10,-2,-25%,$43060.00,$25690.00,$51750.00,0,2,2,0,0,0,Moderate-term on-the-job training,Northwest
D+,53-7031,Dredge Operators,10,10,0,0%,$43060.00,$25690.00,$51750.00,0,2,2,0,0,0,Moderate-term on-the-job training,West Central
D+,53-7031,Dredge Operators,10,20,1,7.14%,$43060.00,$25690.00,$51750.00,1,4,5,0,0,0,Moderate-term on-the-job training,Northeast
B-,53-7031,Dredge Operators,12,16,4,33.33%,$43060.00,$25690.00,$51750.00,4,3,7,0,0,0,Moderate-term on-the-job training,Ozark
D+,53-7031,Dredge Operators,10,10,1,7.69%,$43060.00,$25690.00,$51750.00,1,4,5,0,0,0,Moderate-term on-the-job training,Kansas City Metro
F+,53-7031,Dredge Operators,10,10,0,0%,$43060.00,$25690.00,$51750.00,0,3,3,0,0,0,Moderate-term on-the-job training,Southwest
F+,53-7031,Dredge Operators,40,40,0,0%,$43060.00,$25690.00,$51750.00,0,11,11,0,1,1,Moderate-term on-the-job training,St. Louis Metro
D+,53-7031,Dredge Operators,80,80,0,0%,$43060.00,$25690.00,$51750.00,0,22,22,0,2,2,Moderate-term on-the-job training,Southeast
F+,53-7031,Dredge Operators,10,10,-1,-11.11%,$43060.00,$25690.00,$51750.00,0,3,3,0,0,0,Moderate-term on-the-job training,South Central
F+,53-7031,Dredge Operators,20,20,0,0%,$43060.00,$25690.00,$51750.00,0,7,7,0,1,1,Moderate-term on-the-job training,Central
F+,53-7021,Crane and Tower Operators,20,20,-4,-19.05%,$41060.00,$27350.00,$47910.00,0,5,5,0,1,1,Long-term on-the-job training,Southwest
F+,53-7021,Crane and Tower Operators,90,80,-14,-15.56%,$41060.00,$27350.00,$47910.00,0,21,21,0,2,2,Long-term on-the-job training,Kansas City Metro
F+,53-7021,Crane and Tower Operators,30,30,-4,-12.12%,$41060.00,$27350.00,$47910.00,0,8,8,0,1,1,Long-term on-the-job training,Northeast
F+,53-7021,Crane and Tower Operators,10,10,-2,-16.67%,$41060.00,$27350.00,$47910.00,0,3,3,0,0,0,Long-term on-the-job training,Northwest
F+,53-7021,Crane and Tower Operators,40,40,-6,-14.63%,$41060.00,$27350.00,$47910.00,0,10,10,0,1,1,Long-term on-the-job training,Southeast
F+,53-7021,Crane and Tower Operators,30,20,-3,-11.11%,$41060.00,$27350.00,$47910.00,0,6,6,0,1,1,Long-term on-the-job training,Central
F+,53-7021,Crane and Tower Operators,31,27,-4,-12.9%,$41060.00,$27350.00,$47910.00,0,7,7,0,1,1,Long-term on-the-job training,Ozark
F+,53-7021,Crane and Tower Operators,150,130,-20,-12.99%,$41060.00,$27350.00,$47910.00,0,36,36,0,4,4,Long-term on-the-job training,St. Louis Metro
F+,53-7021,Crane and Tower Operators,0,0,0,0%,$41060.00,$27350.00,$47910.00,0,1,1,0,0,0,Long-term on-the-job training,South Central
F+,53-7021,Crane and Tower Operators,20,20,-3,-14.29%,$41060.00,$27350.00,$47910.00,0,5,5,0,1,1,Long-term on-the-job training,West Central
F,53-7011,Conveyor Operators and Tenders,60,60,0,0%,$29500.00,$21360.00,$33570.00,$0,$18,18,$0,$2,2,Short-term on-the-job training,Central
F+,53-7011,Conveyor Operators and Tenders,70,60,-4,-5.97%,$29500.00,$21360.00,$33570.00,0,20,20,0,2,2,Short-term on-the-job training,Southeast
F,53-7011,Conveyor Operators and Tenders,20,10,-2,-12.5%,$29500.00,$21360.00,$33570.00,0,5,5,0,1,1,Short-term on-the-job training,South Central
F,53-7011,Conveyor Operators and Tenders,81,71,-10,-12.35%,$29500.00,$21360.00,$33570.00,0,24,24,0,2,2,Short-term on-the-job training,Ozark
F,53-7011,Conveyor Operators and Tenders,310,280,-26,-8.41%,$29500.00,$21360.00,$33570.00,0,90,90,0,9,9,Short-term on-the-job training,St. Louis Metro
F+,53-7011,Conveyor Operators and Tenders,50,40,-4,-8.51%,$29500.00,$21360.00,$33570.00,0,14,14,0,1,1,Short-term on-the-job training,West Central
F,53-7011,Conveyor Operators and Tenders,30,30,0,0%,$29500.00,$21360.00,$33570.00,0,8,8,0,1,1,Short-term on-the-job training,Northeast
F+,53-7011,Conveyor Operators and Tenders,90,80,-12,-13.64%,$29500.00,$21360.00,$33570.00,0,26,26,0,3,3,Short-term on-the-job training,Northwest
F+,53-7011,Conveyor Operators and Tenders,120,110,-13,-10.92%,$29500.00,$21360.00,$33570.00,0,35,35,0,4,4,Short-term on-the-job training,Southwest
F,53-7011,Conveyor Operators and Tenders,140,120,-15,-10.95%,$29500.00,$21360.00,$33570.00,0,40,40,0,4,4,Short-term on-the-job training,Kansas City Metro
F,53-6099,"Transportation Workers, All Other",0,0,0,0%,$22730.00,$16430.00,$25880.00,0,1,1,0,0,0,Short-term on-the-job training,South Central
F,53-6099,"Transportation Workers, All Other",50,50,-3,-5.77%,$22730.00,$16430.00,$25880.00,0,19,19,0,2,2,Short-term on-the-job training,Kansas City Metro
F,53-6099,"Transportation Workers, All Other",10,10,0,0%,$22730.00,$16430.00,$25880.00,0,3,3,0,0,0,Short-term on-the-job training,Central
D,53-6099,"Transportation Workers, All Other",0,0,1,50%,$22730.00,$16430.00,$25880.00,1,1,2,0,0,0,Short-term on-the-job training,Northeast
D,53-6099,"Transportation Workers, All Other",0,10,1,25%,$22730.00,$16430.00,$25880.00,1,1,2,0,0,0,Short-term on-the-job training,Southeast
D,53-6099,"Transportation Workers, All Other",0,0,1,33.33%,$22730.00,$16430.00,$25880.00,1,1,2,0,0,0,Short-term on-the-job training,Southwest
D-,53-6099,"Transportation Workers, All Other",15,18,3,20%,$22730.00,$16430.00,$25880.00,3,5,8,0,1,1,Short-term on-the-job training,Ozark
F+,53-6099,"Transportation Workers, All Other",0,0,0,0%,$22730.00,$16430.00,$25880.00,0,1,1,0,0,0,Short-term on-the-job training,West Central
F,53-6099,"Transportation Workers, All Other",90,80,-10,-11.49%,$22730.00,$16430.00,$25880.00,0,31,31,0,3,3,Short-term on-the-job training,St. Louis Metro
D-,53-6051,Transportation Inspectors,130,130,3,2.38%,$55540.00,$27920.00,$69350.00,3,30,33,0,3,3,Work experience in a related occupation,Kansas City Metro
C,53-6051,Transportation Inspectors,10,20,1,7.14%,$55540.00,$27920.00,$69350.00,1,3,4,0,0,0,Work experience in a related occupation,West Central
C,53-6051,Transportation Inspectors,10,10,1,7.69%,$55540.00,$27920.00,$69350.00,1,3,4,0,0,0,Work experience in a related occupation,South Central
