Facility Permit #,Establishment Name,Facility Name,Facility Street No.,Facility Street Name,Facility Unit No,Facility City,Facility State,Facility Zip,Business Status,Facility Type,Permit Type,Web Site,Operational Status,Location 1
11353,Target Store (T1455),Target Store (T1455),9220,NE Barry Rd.,,Kansas City,MISSOURI,64158,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"9220 Barry Rd
Kansas City, MO 64158
(39.24470317000049, -94.46681565899968)"
100004,Price Chopper (retail),Price Chopper (retail),6327 Brookside Plz,,,Kansas City,MISSOURI,64113,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"6327 Brookside Plz
Kansas City, MO 64113
(39.01309787100047, -94.59068587999968)"
12392,Wal-Mart Supercenter #2857 - Retail,Wal-Mart Supercenter #2857 - Retail,8551 N. Boardwalk Ave.,,,Kansas City,MISSOURI,64154,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"8551 Boardwalk Ave
Kansas City, MO 64154
(39.252416138000456, -94.65399960299965)"
100463,"Hampton Inn & Suites, Country Club Plaza","Hampton Inn & Suites, Country Club Plaza",4600 Summit,,,Kansas City,MISSOURI,64112,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"4600 Summit
Kansas City, MO 64112
(39.04338322300049, -94.59620641299966)"
1665,COSTCO WHOLESALE #375 (Retail Grocery),COSTCO WHOLESALE #375 (Retail Grocery),241 E. LINWOOD BLVD.,,,KANSAS CITY,MISSOURI,64111,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"241 LINWOOD BLVD
KANSAS CITY, MO 64111
(39.06828306500046, -94.58137168299965)"
1362,Wal-Mart,Wal-Mart,8301,N. Church Rd.,,Kansas City,MISSOURI,64158,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"8301 Church Rd
Kansas City, MO 64158
(39.242677366000464, -94.46179462699968)"
30570,PRICE CHOPPER (GROCERY),PRICE CHOPPER (GROCERY),8700 E. 63RD ST.,,,KANSAS CITY,MISSOURI,64133,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"8700 63RD ST
KANSAS CITY, MO 64133
(39.00966548300045, -94.4831253539997)"
2614,Price Chopper/ Grocery,Price Chopper/ Grocery,8430 WORNALL ROAD,,,KANSAS CITY,MISSOURI,64114,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,,Operational,"8430 WORNALL ROAD
KANSAS CITY, MO 64114
(38.97519657400045, -94.59505921299967)"
21690,Royal Liquors (Market),Royal Liquors (Market),801,Southwest Blvd.,,Kansas City,MISSOURI,64108,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"801 Southwest Blvd
Kansas City, MO 64108
(39.08421574300047, -94.59463588499966)"
1150,Benton Lq and Mkt,Benton Lq and Mkt,1800 Benton,,,Kansas City,MISSOURI,64127,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"1800 Benton
Kansas City, MO 64127
(39.0906944620005, -94.54967451399966)"
1921,NASHUA GENERAL STORE,NASHUA GENERAL STORE,11103 NASHUA DR.,,,KANSAS CITY,MISSOURI,64155,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"11103 NASHUA DR
KANSAS CITY, MO 64155
(39.295163396000476, -94.57594175499969)"
26170,7-ELEVEN STORE#29066,7-ELEVEN STORE#29066,8901 WORNALL,,,KANSAS CITY,MISSOURI,64114,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"8901 WORNALL
KANSAS CITY, MO 64114
(38.966839337000465, -94.59538869599965)"
12221,Price Chopper # 17 Market,Price Chopper # 17 Market,9550,Blue Ridge Blvd,,Kansas City,MISSOURI,64134,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,,Operational,"9550 Blue Ridge Blvd
Kansas City, MO 64134
(38.951041915000474, -94.50804607099968)"
4727,Oak Hill 66,Oak Hill 66,9351 N. Oak Trfwy.,,,Kansas City,MISSOURI,64155,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"9351 Oak
Trfwy Kansas City, MO 64155
(39.27609002000048, -94.57066660199968)"
100868,Quality Hill Supermart,Quality Hill Supermart,1020,Broadway Blvd,,Kansas City,MISSOURI,64105,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"1020 Broadway Blvd
Kansas City, MO 64105
(39.10193509800047, -94.58836610899965)"
2318,Amoco,Amoco,6401,Troost,,Kansas City,MISSOURI,64131,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"6401 Troost
Kansas City, MO 64131
(39.01104884200049, -94.57466555599967)"
13547,Festival Foods,Festival Foods,4357,NE Chouteau Tfwy,,Kansas City,MISSOURI,64117,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,,Operational,"4357 Chouteau
Tfwy Kansas City, MO 64117
(39.16966345600048, -94.52730779199965)"
12980,TOYS R US #9520,TOYS R US #9520,8330 N. BROADWAY,,,KANSAS CITY,MISSOURI,64118,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,http://toysrus.com,Operational,"8330 BROADWAY
KANSAS CITY, MO 64118
(39.214273628000456, -94.57336919499966)"
100689,Barry Road Diamond Shamrock,Barry Road Diamond Shamrock,6250 NW Barry Road,,,Kansas City,MISSOURI,64154,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"6250 Barry Road
Kansas City, MO 64154
(39.24704836900048, -94.65190090399966)"
22020,Waterway Gas & Wash Company (market),Waterway Gas & Wash Company (market),8507 STATELINE ROAD,,,KANSAS CITY,MISSOURI,64114,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"8507 STATELINE ROAD
KANSAS CITY, MO 64114
(38.97425160500046, -94.60821514099968)"
27660,Breaktime Plus Sundries #04,Breaktime Plus Sundries #04,120,W 12th St,,Kansas City,MISSOURI,64105,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"120 12th St
Kansas City, MO 64105
(39.09999800000048, -94.58521982999969)"
2998,Plaza Apple Market,Plaza Apple Market,1215,E 47th St.,,Kansas City,MISSOURI,64110,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"1215 47th St
Kansas City, MO 64110
(39.04162465900049, -94.57149389299968)"
4857,K-Mart,K-Mart,2821,NE Vivion Rd.,,Kansas City,MISSOURI,64119,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"2821 Vivion Rd
Kansas City, MO 64119
(39.18787408300045, -94.54584294899968)"
2384,Van Brunt Market (retail),Van Brunt Market (retail),2701 Van Brunt ,,,Kansas City,MISSOURI,64128,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"2701 Van
Brunt Kansas City, MO 64128
(39.06740375200047, -94.53796609099965)"
101836,PHILLIPS 66 (Market),PHILLIPS 66 (Market),125,W 135th St.,,Kansas City ,MISSOURI,64145,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"125 135th St
Kansas City, MO 64145
(38.882983374000446, -94.59767271199968)"
101030,Prairie View 66 (market),Prairie View 66 (market),6417 NW. 72nd. St.,,,Kansas City,MISSOURI,64151,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"6417 72nd St
Kansas City, MO 64151
(39.225109621000456, -94.65314142099965)"
1997,World's Liquor,World's Liquor,8108,NW Prairie View Rd,,Kansas City,MISSOURI,64152,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"8108 Prairie View Rd
Kansas City, MO 64152
(39.24526115100048, -94.66031982899966)"
101801,CONOCO,CONOCO,14306,E 40 Highway,,Kansas City,MISSOURI,64136,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"14306 40 Highway
Kansas City, MO 64136
(39.02665194500048, -94.39905626399968)"
100171,Wal-Mart Supercenter #2955/ Grocery,Wal-Mart Supercenter #2955/ Grocery,1701 W. 133rd St.,,,Kansas City,MISSOURI,64145,Open,Retail Grocery/Market 30001-40000 sq. ft.,Retail Grocery/Market,,Operational,"1701 133rd St
Kansas City, MO 64145
(38.88650343900048, -94.60645984599967)"
13070,THE TOP SPOT (Market),THE TOP SPOT (Market),2640 BROOKLYN,,,KANSAS CITY,MISSOURI,64127,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"2640 BROOKLYN
KANSAS CITY, MO 64127
(39.077572390000455, -94.55711615999968)"
3092,McGonigle's Food Store (market),McGonigle's Food Store (market),1307 W. 79TH ST.,,,KANSAS CITY,MISSOURI,64114,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"1307 79TH ST
KANSAS CITY, MO 64114
(38.98546322700048, -94.60576341399968)"
11930,Pastor Dave's (market),Pastor Dave's (market),5440 BLUE RIDGE CUT-OFF,,,KANSAS CITY,MISSOURI,64133,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"5440 BLUE RIDGE
CUT-OFF KANSAS CITY, MO 64133
(39.02506216000046, -94.48135550599966)"
25130,QUIK TRIP #176,QUIK TRIP #176,1301 WESTPORT RD,,,KANSAS CITY,MISSOURI,64111,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"1301 WESTPORT RD
KANSAS CITY, MO 64111
(39.04994366800048, -94.60149243299969)"
22202,Gary's BP,Gary's BP,13015 STATE LINE,,,KANSAS CITY,MISSOURI,64145,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"13015 STATE
LINE KANSAS CITY, MO 64145
(38.8955022990005, -94.59558955399967)"
1596,Mi Mercado (market),Mi Mercado (market),3719,Independence Ave,,Kansas City,MISSOURI,64124,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,,Operational,"3719 Independence Ave
Kansas City, MO 64124
(39.105843061000485, -94.53861094499968)"
2860,Tony's Discount Center (Market),Tony's Discount Center (Market),2604 E 27th St,,,Kansas City,MISSOURI,64127,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"2604 27th St
Kansas City, MO 64127
(39.077108101000476, -94.55217006599969)"
4646,QUIK TRIP #197,QUIK TRIP #197,13100,Holmes Rd.,,Kansas City,MISSOURI,64145,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"13100 Holmes Rd
Kansas City, MO 64145
(38.889542633000474, -94.5860654979997)"
100802,K.C. Fuel,K.C. Fuel,5401,Winner Rd. ,,Kansas City,MISSOURI,64127,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"5401 Winner Rd
Kansas City, MO 64127
(39.09924590000048, -94.51887512799965)"
29660,STATION STOP,STATION STOP,14503 E 40 HWY,,,KANSAS CITY,MISSOURI,64136,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"14503 40 HWY
KANSAS CITY, MO 64136
(39.02665194500048, -94.39905626399968)"
1184,Apple Market,Apple Market,4300 Blue Ridge Blvd,,,Kansas City,MISSOURI,64133,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"4300 Blue Ridge Blvd
Kansas City, MO 64133
(39.04343178400046, -94.43828553299966)"
23481,Park Parade Stop N Shop Retail,Park Parade Stop N Shop Retail,2200 Truman Rd,, ,Kansas City,MISSOURI,64127,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"2200 Truman Rd
Kansas City, MO 64127
(39.09491806700049, -94.55587963599964)"
100168,Troost Market Retail,Troost Market Retail,8001 Troost Ave,,,Kansas City,MISSOURI,64131,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"8001 Troost Ave
Kansas City, MO 64131
(38.982739085000446, -94.57608566299967)"
100783,Brookside Market #144 (Retail) ,Brookside Market #144 (Retail) ,14 W 62nd Terrace,,,Kansas City,MISSOURI,64113,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"14 62nd Terrace
Kansas City, MO 64113
(39.01484842800045, -94.58927998599967)"
2405,Walgreens,Walgreens,2630,NE Vivion Rd.,,Kansas City,MISSOURI,64119,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,http://walgreens.com,Operational,"2630 Vivion Rd
Kansas City, MO 64119
(39.18751573600048, -94.54692099799968)"
100200,Freeway Market,Freeway Market,3811, E. 67th St,,Kansas City ,MISSOURI,64132,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"3811 67th St
Kansas City, MO 64132
(39.004603285000485, -94.54202204399968)"
100997,Inner City Oil,Inner City Oil,4532 Paseo Blvd,,,Kansas City,MISSOURI,64110,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"4532 Paseo Blvd
Kansas City, MO 64110
(39.043866462000494, -94.56831475199965)"
2939,Mr Z's In & Out #1,Mr Z's In & Out #1,1600,W. 39th St,,Kansas City,MISSOURI,64111,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"1600 39th St
Kansas City, MO 64111
(39.0572585810005, -94.60381979699969)"
19900,Executive Hills Phillips 66 (market),Executive Hills Phillips 66 (market),9700 N. Polo Dr.,,,Kansas City,MISSOURI,64153,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"9700 Polo Dr
Kansas City, MO 64153
(39.27149932000049, -94.66611263399966)"
21681,La Posada Market,La Posada Market,722,Southwest Blvd.,,Kansas City,MISSOURI,64108,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"722 Southwest Blvd
Kansas City, MO 64108
(39.085302268000476, -94.59292148099968)"
100346,New Mark Sun Fresh #156-Market,New Mark Sun Fresh #156-Market,10225 N. Oak,,,Kansas City,MISSOURI,64155,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"10225 Oak
Kansas City, MO 64155
(39.27609002000048, -94.57066660199968)"
100968,Dollar General #8971,Dollar General #8971,6244 N. Chatham Ave.,,,Kansas City,MISSOURI,64151,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"6244 Chatham Ave
Kansas City, MO 64151
(39.208871642000474, -94.64322109799969)"
4698,Hy Vee Food Store ,Hy Vee Food Store ,8301,N St. Clair,,Kansas City,MISSOURI,64151,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"8301 N St
Clair Kansas City, MO 64151
(39.21624191500047, -94.6344165219997)"
100563,Hy-Vee Store ,Hy-Vee Store ,207 NE Englewood Rd,,,Kansas City,MISSOURI,64118,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"207 Englewood Rd
Kansas City, MO 64118
(39.19578357000046, -94.57900641699968)"
100306,53rd Street Party Shop,53rd Street Party Shop,5314,Prospect,,Kansas City,MISSOURI,64130,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"5314 Prospect
Kansas City, MO 64130
(39.029112272000475, -94.55505528699967)"
19061,Sam's Club  #8207,Sam's Club  #8207,5110 N. Oak Trfwy.,,,Kansas City,MISSOURI,64118,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"5110 Oak
Trfwy Kansas City, MO 64118
(39.214273628000456, -94.57336919499966)"
100794,Los Alamos Market,Los Alamos Market,1667 Summit,,,Kansas City,MISSOURI,64108,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"1667 Summit
Kansas City, MO 64108
(39.093229099000496, -94.59330579399966)"
100419,7-Eleven Store No 18711,7-Eleven Store No 18711,2636 Van Brunt Blvd.  ,,,Kansas City,MISSOURI,64127,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"2636 Van Brunt Blvd
Kansas City, MO 64127
(39.07632165300049, -94.52057594099966)"
17230,TARGET ,TARGET ,8420 N. MADISON AVE ,,,KANSAS CITY ,MISSOURI,64155,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,http://target.com,Operational,"8420 MADISON AVE
KANSAS CITY, MO 64155
(39.248493349000455, -94.5935320159997)"
13904,Quik Trip  #173,Quik Trip  #173,528 NW Englewood Rd.,,,Kansas City,MISSOURI,64118,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"528 Englewood Rd
Kansas City, MO 64118
(39.19582739300046, -94.58712672899969)"
100064,Metropolitan Lutheran Ministry,Metropolitan Lutheran Ministry,3031,Holmes,,Kansas City,MISSOURI,64109,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,http://www.mlmkc.org,Operational,"3031 Holmes
Kansas City, MO 64109
(39.07137911200044, -94.57648480899968)"
4577,J.R. Mini Mart,J.R. Mini Mart,7344,Troost,,KANSAS CITY,MISSOURI,64131,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"7344 Troost
KANSAS CITY, MO 64131
(38.99352194900047, -94.57559531799967)"
100309,Target,Target,8509 State Line Rd. ,,,Kansas City,MISSOURI,64114,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"8509 State Line Rd
Kansas City, MO 64114
(38.97389154600046, -94.60820566599966)"
101028,Dollar General,Dollar General,8716 Blue Ridge,,,Kansas City,MISSOURI,64134,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"8716 Blue Ridge
Kansas City, MO 64134
(38.908940489000486, -94.52273772599966)"
3040,Walgreen's #4210,Walgreen's #4210,1100 E. 63RD ST.,,,KANSAS CITY,MISSOURI,64110,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"1100 63RD ST
KANSAS CITY, MO 64110
(39.013277900000446, -94.57437892899969)"
101021,Dollar General #3295,Dollar General #3295,10524 Grandview Rd,,,Kansas City,MISSOURI,64137,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"10524 Grandview Rd
Kansas City, MO 64137
(38.93423325500049, -94.5412401699997)"
14942,JUBILEE SUPER MARKET (Retail),JUBILEE SUPER MARKET (Retail),2410 HARDESTY ,,,KANSAS CITY ,MISSOURI,64127,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"2410 HARDESTY
KANSAS CITY, MO 64127
(39.08084254400046, -94.52003584899967)"
2142,Guerrero Market (Grocery),Guerrero Market (Grocery),4440 ST. JOHN,,,KANSAS CITY,MISSOURI,64123,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"4440 ST
JOHN KANSAS CITY, MO 64123
(39.11344343000047, -94.52553937499965)"
101029,Dollar General,Dollar General,4804 Noland Road,,,Kansas City,MISSOURI,64133,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"4804 Noland Road
Kansas City, MO 64133
(39.03393138300049, -94.41572742499966)"
100044,Target Store,Target Store,4375 NE CHOUTEAU TRFWY ,,,KANSAS CITY ,MISSOURI,64117,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"4375 CHOUTEAU
TRFWY KANSAS CITY, MO 64117
(39.16966345600048, -94.52730779199965)"
1682,WALGREENS #04212,WALGREENS #04212,2501 E. LINWOOD,,,KANSAS CITY,MISSOURI,64128,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"2501 LINWOOD
KANSAS CITY, MO 64128
(39.06740375200047, -94.53796609099965)"
12830,WALGREENS,WALGREENS,3845 BROADWAY,,,KANSAS CITY,MISSOURI,64111,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"3845 BROADWAY
KANSAS CITY, MO 64111
(39.057358072000454, -94.59066574499968)"
100389,Conoco (market),Conoco (market),11200 N. Ambassador Dr.,,,Kansas City,MISSOURI,64153,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"11200 Ambassador Dr
Kansas City, MO 64153
(39.29723061800047, -94.68172552099969)"
100969,Dollar General #2652,Dollar General #2652,5008 NE. Parvin Rd.,,,Kansas City,MISSOURI,64117,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"5008 Parvin Rd
Kansas City, MO 64117
(39.167051263000474, -94.52128712499967)"
27041,Speedy Food & Liquor Mart (market),Speedy Food & Liquor Mart (market),2519,E 9th St,,Kansas City,MISSOURI,64124,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"2519 9th St
Kansas City, MO 64124
(39.10246275600048, -94.55159088899967)"
2585,WALGREEN #4235,WALGREEN #4235,7500 WORNALL RD,,,KANSAS CITY,MISSOURI,64114,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"7500 WORNALL RD
KANSAS CITY, MO 64114
(38.992041437000466, -94.59435636499967)"
2401,Cosentino's Sunfresh,Cosentino's Sunfresh,2415 N.E. Vivion Rd.,,,Kansas City,MISSOURI,64118,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,,Operational,"2415 Vivion Rd
Kansas City, MO 64118
(39.18450484700048, -94.55147213399965)"
15110,Fast Stop #5 Market,Fast Stop #5 Market,8431,Hickman Mills Dr,,Kansas City,MISSOURI,64132,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"8431 Hickman Mills Dr
Kansas City, MO 64132
(38.97351371900049, -94.5496117409997)"
11295,Honey Baked Ham Co.,Honey Baked Ham Co.,6005 NW Barry,,,Kansas City,MISSOURI,64154,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"6005 Barry
Kansas City, MO 64154
(39.25757160700044, -94.6361588689997)"
4746,K-MART,K-MART,5615 Bannister Rd.,,,Kansas City,MISSOURI,64137,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"5615 Bannister Rd
Kansas City, MO 64137
(38.95307556000046, -94.52551029299968)"
100393,Super Target-Grocery,Super Target-Grocery,1201 W. 136th St. ,,,Kansas City,MISSOURI,64145,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,,Operational,"1201 136th St
Kansas City, MO 64145
(38.88140337100049, -94.60681043199969)"
101020,Dollar General,Dollar General,7615 NW. Prairie View Rd.,,,Kansas City,MISSOURI,64151,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"7615 Prairie View Rd
Kansas City, MO 64151
(39.23315773800044, -94.65848700299966)"
100937,Al-Habashi Mart,Al-Habashi Mart,311,Main St,,Kansas City,MISSOURI,64105,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"311 Main St
Kansas City, MO 64105
(39.10979439200048, -94.58325405999966)"
1418,7-Eleven #21057,7-Eleven #21057,3150,Gillham,,Kansas City,MISSOURI,64109,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"3150 Gillham
Kansas City, MO 64109
(39.069043456000486, -94.57901589299968)"
101083,Dollar General Store # 7042,Dollar General Store # 7042,11118 Blue Ridge Blvd,,,Kansas City,MISSOURI,64134,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"11118 Blue Ridge Blvd
Kansas City, MO 64134
(38.922044746000495, -94.50950682399969)"
101032,Prairie View Phillips,Prairie View Phillips,5910 NW. Prairie View Rd.,,,Kansas City,MISSOURI,64151,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"5910 Prairie View Rd
Kansas City, MO 64151
(39.202746714000455, -94.63091671899969)"
101058,Dollar General #3310,Dollar General #3310,7525 Wornall,,,Kansas City,MISSOURI,64114,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"7525 Wornall
Kansas City, MO 64114
(38.99190064800047, -94.59428603799967)"
101007,Express Stop,Express Stop,5712 Independence Ave.,,,Kansas City,MISSOURI,64123,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"5712 Independence Ave
Kansas City, MO 64123
(39.10508422100048, -94.5150919029997)"
101064,CVS PHARMACY,CVS PHARMACY,7907 State Line Rd,,,Kansas City,MISSOURI,64114,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"7907 State Line Rd
Kansas City, MO 64114
(38.98496814400045, -94.60811565099965)"
101065,CVS PHARMACY # 05724,CVS PHARMACY # 05724,13101 State Line Rd,,,Kansas City,MISSOURI,64145,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"13101 State Line Rd
Kansas City, MO 64145
(38.8900507460005, -94.6079356199997)"
101091,CVS/ Pharmacy #05624,CVS/ Pharmacy #05624,4149,N Oak Trfwy,,Kansas City,MISSOURI,64116,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"4149 Oak
Trfwy Kansas City, MO 64116
(39.15775379600046, -94.57280868899966)"
101069,CVS / Pharmacy # 05635 ,CVS / Pharmacy # 05635 ,11124 Holmes Road ,,,Kansas City ,MISSOURI,64131,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"11124 Holmes Road
Kansas City, MO 64131
(38.92477289700048, -94.58346571899966)"
101092,CVS/Pharmacy #05697,CVS/Pharmacy #05697,3902 Main Street ,,,KC,MISSOURI,64111,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"3902 Main Street
KC, MO 64111
(39.05570226700047, -94.5861863079997)"
101108,Aldi #91 ,Aldi #91 ,6300 Independence Ave.,,,Kansas City,MISSOURI,64125,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,http://aldi.us,Operational,"6300 Independence Ave
Kansas City, MO 64125
(39.10482262700049, -94.50819232799967)"
101186,Truman Medical Center-Coffee Shop,Truman Medical Center-Coffee Shop,7900 Lee Summit Road,,,Kansas City,MISSOURI,64139,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"7900 Lee Summit Road
Kansas City, MO 64139
(38.9731749770005, -94.39055501199965)"
101194,Huda Food,Huda Food,3239,Independence Ave,,Kansas City,MISSOURI,64124,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"3239 Independence Ave
Kansas City, MO 64124
(39.10596268600045, -94.54228261399965)"
101261,Olive Cafe (market),Olive Cafe (market),9530 James A Reed Road,,Suite B,Kansas City,MISSOURI,64134,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"9530 James A Reed Road
Suite BKansas City, MO 64134
(38.951181402000486, -94.49408300699969)"
101264,Chinatown Food Market,Chinatown Food Market,202,Grand Blvd,,Kansas City,MISSOURI,64106,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"202 Grand Blvd
Kansas City, MO 64106
(39.110938391000445, -94.58113480099968)"
